DATE_TIME ,VOLT,AMPERE,POWER,IRRADIANCE
12/4/2024 7:00,11.61,0.885,10.2,59
12/4/2024 8:00,12.56,3.172,39.8,211.5
12/4/2024 9:00,12.86,4.069,52.3,271.3
12/4/2024 10:00,13.9,7.41,102.9,494
12/4/2024 11:00,13.49,6.001,80.9,400.1
12/4/2024 12:00,16.85,13.243,223.1,882.9
12/4/2024 13:00,13.08,4.65,60.8,310
12/4/2024 14:00,13.18,4.976,65.5,331.8
12/4/2024 15:00,12.65,3.453,43.6,230.2
12/4/2024 16:00,12.3,2.387,29.3,159.2
12/4/2024 17:00,12.19,2.062,25.1,137.5
12/4/2024 18:00,11.1,0.014,0.1,9.7
12/4/2024 19:00,0,0,0,0
13/04/2024 07:00,11.21,0.287,3.2,19.2
13/04/2024 08:00,11.61,0.898,10.4,59.9
13/04/2024 09:00,12.45,2.833,35.2,188.9
13/04/2024 10:00,12.29,2.34,28.7,156
13/04/2024 11:00,13.16,4.891,64.3,326.1
13/04/2024 12:00,12.54,3.121,39.1,208.1
13/04/2024 13:00,13.04,4.565,59.5,304.4
13/04/2024 14:00,13.78,6.991,96.3,466.1
13/04/2024 15:00,12.55,3.147,39.4,209.8
13/04/2024 16:00,12.81,3.93,50.3,262
13/04/2024 17:00,12.07,1.701,20.5,113.4
13/04/2024 18:00,11.17,0.235,2.6,15.7
13/04/2024 19:00,0,0,0,0
14/04/2024 07:00,11.59,0.856,9.9,57.1
14/04/2024 08:00,12.25,2.245,27.5,149.7
14/04/2024 09:00,13.76,6.939,95.4,462.6
14/04/2024 10:00,16.1,10.705,172.3,713.7
14/04/2024 11:00,17.14,13.728,235.2,915.2
14/04/2024 12:00,13.17,4.942,65,329.5
14/04/2024 13:00,16.09,10.668,171.6,711.2
14/04/2024 14:00,14.63,8.545,125,569.7
14/04/2024 15:00,13.13,4.794,62.9,319.6
14/04/2024 16:00,12.22,2.143,26.1,142.9
14/04/2024 17:00,11.53,0.777,8.9,51.8
14/04/2024 18:00,11.31,0.444,5,29.6
14/04/2024 19:00,0,0,0,0
15/04/2024 07:00,11.68,0.994,11.6,66.3
15/04/2024 08:00,12.26,2.251,27.5,150.1
15/04/2024 09:00,12.68,3.534,44.8,235.6
15/04/2024 10:00,16.38,11.651,190.8,776.8
15/04/2024 11:00,9.98,15,149.7,732
15/04/2024 12:00,14.88,8.944,133,596.3
15/04/2024 13:00,13.24,5.182,68.6,345.5
15/04/2024 14:00,12.97,4.399,57,293.3
15/04/2024 15:00,12.33,2.247,27.7,164.8
15/04/2024 16:00,12.18,2.09,25.4,139.4
15/04/2024 17:00,11.8,1.192,14,79.4
15/04/2024 18:00,11.11,0.16,1.7,10.7
15/04/2024 19:00,0,0,0,0
16/04/2024 07:00,11.77,1.15,13.5,76.7
16/04/2024 08:00,12.27,2.297,28.1,153.2
16/04/2024 09:00,13.2,5.032,66.4,335.5
16/04/2024 10:00,14.53,8.371,121.6,558.1
16/04/2024 11:00,13.73,6.825,93.7,455
16/04/2024 12:00,15.5,9.83,152.3,655.4
16/04/2024 13:00,13.85,5.773,79.9,384.9
16/04/2024 14:00,13.31,5.404,71.9,360.3
16/04/2024 15:00,12.72,3.646,46.3,243.1
16/04/2024 16:00,12.32,2.455,30.2,163.7
16/04/2024 17:00,12.1,1.788,21.6,119.2
16/04/2024 18:00,11.12,0.175,1.9,11.7
16/04/2024 19:00,0,0,0,0
17/04/2024 07:00,11.46,0.676,7.7,45.1
17/04/2024 08:00,12.21,2.117,25.8,141.2
17/04/2024 09:00,13.55,6.234,84.4,415.6
17/04/2024 10:00,14.11,7.684,108.4,512.3
17/04/2024 11:00,16.64,12.511,208.1,834.1
17/04/2024 12:00,17.04,13.56,231,904
17/04/2024 13:00,16.89,13.392,226.1,892.8
17/04/2024 14:00,15.7,10.156,159.4,677.1
