DATE_TIME ,VOLT,AMPERE,POWER,IRRADIANCE
11/03/2024 07:00,11.61,0.885,10.2,059.0
11/03/2024 08:00,12.55,3.172,39.8,211.5
11/03/2024 09:00,12.85,4.069,52.2,271.3
11/03/2024 10:00,13.61,6.420,87.3,428.0
11/03/2024 11:00,13.68,6.651,90.9,443.4
11/03/2024 12:00,9.96,15.000,149.4,730.7
11/03/2024 13:00,13.08,4.650,60.8,310.0
11/03/2024 14:00,13.18,4.976,65.5,331.8
11/03/2024 15:00,12.65,3.453,43.6,230.2
11/03/2024 16:00,12.30,2.387,29.3,159.2
11/03/2024 17:00,12.19,2.062,25.1,137.5
11/03/2024 18:00,11.13,1.454,16.1,009.7
11/03/2024 19:00,00.00,00.00,0,000.0
12/03/2024 07:00,11.21,0.287,3.2,019.2
12/03/2024 08:00,11.61,0.898,10.4,059.9
12/03/2024 09:00,12.45,2.833,35.2,188.9
12/03/2024 10:00,12.47,2.872,35.8,191.5
12/03/2024 11:00,13.16,4.891,64.3,326.1
12/03/2024 12:00,13.29,5.326,70.7,355.1
12/03/2024 13:00,13.35,5.525,73.7,368.4
12/03/2024 14:00,13.78,6.991,96.3,466.1
12/03/2024 15:00,12.50,2.973,37.1,198.2
12/03/2024 16:00,12.40,2.662,33.0,177.5
12/03/2024 17:00,12.08,1.701,20.5,113.4
12/03/2024 18:00,11.16,0.213,2.3,014.2
12/03/2024 19:00,00.00,00.00,0,00.00
13/03/2024 07:00,11.49,0.771,8.8,047.4
13/03/2024 08:00,12.26,2.245,27.5,149.7
13/03/2024 09:00,13.77,6.939,95.5,462.6
13/03/2024 10:00,16.10,8.514,137.0,567.6
13/03/2024 11:00,17.14,9.228,158.1,615.2
13/03/2024 12:00,16.27,11.271,183.3,751.4
13/03/2024 13:00,16.36,11.538,188.7,769.2
13/03/2024 14:00,14.64,8.545,125.0,569.7
13/03/2024 15:00,13.27,5.226,69.3,348.4
13/03/2024 16:00,12.92,4.246,54.8,283.1
13/03/2024 17:00,11.48,0.700,8.0,046.7
13/03/2024 18:00,11.11,0.143,1.5,009.6
13/03/2024 19:00,00.00,00.00,0,00.00
14/03/2024 07:00,11.68,0.994,11.6,066.3
14/03/2024 08:00,12.26,2.251,27.5,150.1
14/03/2024 09:00,12.68,3.534,44.8,235.6
14/03/2024 10:00,13.39,5.652,75.6,376.8
14/03/2024 11:00,13.43,6.790,91.1,386.0
14/03/2024 12:00,13.12,4.760,62.4,317.4
